vardekod,vardebenamning
267,"GYMNASIESLÄRAREXAMEN (F.O.M.1993)  ÄMNESLÄRARLINJERNA SAMT AV SLUTANDE PRAKTISK PEDAGOGISK UTBILDNING OM 40 P FÖR STUDERANDE SOM HAR GRUNDLÄGGANDE TEKNISK, EKONOMISK, MATEMATISKNATURVETENSKAPLIG HÖGSKOLEUTBILDNING ELLER ÄMNESTEORETISK LEKTORSKOMPETENS"
268,ANNAN UTBILDNING FÖR ÄMNES UNDERVISNING.
269,ANNAN ELLER OSPECIFICERAD HITHÖRAN-DE UTBILDNING 3 ÅR ELLER LÄNGRE
299,OSPECIFICERAD PEDAGOGISK UTBILDNING
330,UTBILDNING INOM HANDEL OCH KONTOR
331,"SPRÅKOCH SKRIVINRIKTAD UTBILD NINGVID GYMNASIESKOLA (GYMNASIE LINJE ELLER SPECIALKURS Sp, KOMVUX ELLER AMU)"
332,UTBILDNING FÖR INKÖPSOCH FÖR SÄLJNINGSARBETE
333,UTBILDNING FÖR DATABEARBETNING
334,"UTBILDNING FÖR BOKFÖRINGSOCH REDOVISNINGSARBETE SAMT FÖR KASSAARBETE VID GYMNASIESKOLA (GYMNASIE-LINJE ELLER SPECIALKURS SP), KOMVUXELLER AMU"
335,UTBILDNING FÖR DETALJHANDELSARBETE (INKL PARTIHANDEL OCH LAGERARBETE) VID GYMNASIESKOLA (GYMNASIELINJE ELLER SPECIALKURS SP) KOMVUX ELLER AMU
336,FÖRVALTNINGSUTBILDNING
337,"EKONOMISK LINJE VID FACKSKOLAN OCH GYMNASIESKOLAN SAMT MOT SVARANDE, AVGÅNGSBETYG 2, EKONOMISKSEKTOR, FRÅN KOMMUNAL VUXENUTBILDNING"
338,ANNAN HÖGST 2-ÅRIG HITHÖRANDE UTBILDNING
339,OSPECIFICERAD HÖGST 2-ÅRIG HIT HÖRANDE UTBILDNING
341,SPRÅKOCH SKRIVINRIKTAD UTBILD NING
342,UTBILDNING FÖR INKÖPSOCH FÖR SÄLJNINGSARBETE
343,"UTBILDNING I INFORMATIONS BEHANDLING, ADB"
344,UTBILDNING FÖR BOKFÖRINGSOCH REDOVISNINGSARBETE SAMT FÖR KAS SAARBETE
