vardekod,vardebenamning
372,Framställning av ickejärnmetaller
3720,Framställning av ickejärnmetaller
37201,Framställning av ickejärnmetaller ur malm
372010,Framställning av ickejärnmetaller ur malm
37202,Framställning av ickejärnmetaller ur skrot
372020,Framställning av ickejärnmetaller ur skrot
37203,Halvfabrikattillverkning av ickejärnmetall
372030,Halvfabrikattillverkning av ickejärnmetall
37204,Gjutgodstillverkning av ickejärnmetall
372040,Gjutgodstillverkning av ickejärnmetall
38,Verkstadsvarutillverkning
381,Metallvarutillverkning
3811,"Tillverkning av verktyg, redskap"
38110,"Tillverkning av verktyg, redskap"
381100,"Tillverkning av verktyg, redskap"
3812,Metallmöbeltillverkning
38120,Metallmöbeltillverkning
381200,Metallmöbeltillverkning
3813,Tillverkning av metallkonstruktioner
38130,Tillverkning av metallkonstruktioner
381300,Tillverkning av metallkonstruktioner
3819,Övrig metallvarutillverkning
38191,Metallförpackningstillverkning
381910,Metallförpackningstillverkning
38192,"Tillverkning av metalltråd, -nät, -linor, -kablar"
381920,"Tillverkning av metalltråd, -nät, -linor, -kablar"
38193,"Tillverkning av spik, skruvar, bultar"
381930,"Tillverkning av spik, skruvar, bultar"
38194,Tillverkning av byggnadsmetallvaror (ej spik skruv bult)
381940,Tillverkning av byggnadsmetallvaror (ej spik skruv bult)
38195,Tillverkning av hushållsmetallvaror
381950,Tillverkning av hushållsmetallvaror
38199,Annan metallvarutillverkning
381990,Annan metallvarutillverkning
382,Maskintillverkning
3821,Tillverkning av stationära turbiner och motorer
38210,Tillverkning av stationära turbiner och motorer
382100,Tillverkning av stationära turbiner och motorer
3822,Tillverkning av jordbruksmaskiner
38220,Tillverkning av jordbruksmaskiner
382200,Tillverkning av jordbruksmaskiner
3823,Tillverkning av metall- och träbearbetningsmaskiner
38231,Tillverkning av metallbearbetningsmaskiner
382310,Tillverkning av metallbearbetningsmaskiner
38232,Tillverkning av träbearbetningsmaskiner
382320,Tillverkning av träbearbetningsmaskiner
3824,"Tillverkning av övriga varubearbetningsmaskiner, byggnadsmaskiner"
38241,Tillverkning av massa- och pappersbearbetningsmaskiner
382410,Tillverkning av massa- och pappersbearbetningsmaskiner
38242,Tillverkning av byggnads- och mineralbrytningsmaskiner
382420,Tillverkning av byggnads- och mineralbrytningsmaskiner
38249,Tillverkning av andra varubearbetningsmaskiner
382490,Tillverkning av andra varubearbetningsmaskiner
3825,"Tillverkning av datamaskiner (datorer), kontorsmaskiner"
38251,Tillverkning av datamaskiner
382510,Tillverkning av datamaskiner
38259,Tillverkning av kontorsmaskiner (ej elektroniska)
382590,Tillverkning av kontorsmaskiner (ej elektroniska)
3829,"Övrig maskintillverkning, maskinreparation"
38291,Tillverkning av hushållsapparater
382910,Tillverkning av hushållsapparater
38292,"Reparation av maskiner, utom hushållsapparater"
382920,"Reparation av maskiner, utom hushållsapparater"
38299,Tillverkning av diverse maskiner
382991,Tillverkning av lyftanordningar
382992,Tillverkning av vätskepumpar
382993,"Tillverkning av maskindelar, ej specialdelar"
382999,Tillverkning av övriga maskiner
383,Tillverkning av elektriska produkter
3831,"Tillverkning av elmotorer, generatorer, viss elapparatur för maskiner"
38310,"Tillverkning av elmotorer, generatorer samt elapparatur för maskiner"
383100,"Tillverkning av elmotorer, generatorer samt elapparatur för maskiner"
3832,Tillverkning av teleprodukter
38320,Tillverkning av teleprodukter
383200,Tillverkning av teleprodukter
3833,Tillverkning av elektriska hushållsapparater
38330,Tillverkning av elektriska hushållsapparater
383300,Tillverkning av elektriska hushållsapparater
3839,"Övrig tillverkning av elektriska produkter, elreparation"
38391,Tillverkning av elektrisk tråd och/eller kabel
383910,Tillverkning av elektrisk tråd och kabel
38392,Batteri- och ackumulatortillverkning
383920,Batteri- och ackumulatortillverkning
38393,Glödlamps- och lysrörstillverkning
383930,Glödlamps- och lysrörstillverkning
38394,"Reparation av elektriska produkter, utom hushållsapparater"
383940,"Reparation av elektriska produkter, utom hushållsapparater"
38399,Tillverkning av andra elektriska produkter
383990,Tillverkning av andra elektriska produkter
384,Transportmedelstillverkning
3841,"Byggande och reparation av fartyg, båtar"
38411,Byggande och reparation av fartyg
384110,Byggande och reparation av fartyg
38412,Byggande och reparation av båtar
384120,Byggande och reparation av båtar
38413,Tillverkning av fartygs- och båtmotorer
384130,Tillverkning av fartygs- och båtmotorer
38414,Fartygsupphuggning
384140,Fartygsupphuggning
3842,Tillverkning och reparation av rälsfordon
38421,Rälsfordonstillverkning
384210,Rälsfordonstillverkning
38422,Reparation av rälsfordon
384220,Reparation av rälsfordon
3843,Bil- och bilmotortillverkning
38431,Tillverkning av bilar och underreden
384310,Tillverkning av bilar och underreden
38432,"Tillverkning av bilmotorer, -delar, släpfordon"
384320,"Tillverkning av bilmotorer, -delar, släpfordon"
3844,Cykel- och motorcykeltillverkning
38440,Cykel- och motorcykeltillverkning
384400,Cykel- och motorcykeltillverkning
3845,Tillverkning och reparation av flygplan
38451,Tillverkning av flygplan och flygplansmotorer
384510,Tillverkning av flygplan och flygplansmotorer
38452,Reparation av flygplan och flygplansmotorer
384520,Reparation av flygplan och flygplansmotorer
3849,Övrig transportmedelstillverkning
38490,Transportmedelstillverkning (ej motordrivna)
384900,Övrig transportmedelstillverkning
385,"Tillverkning av instrument, foto- och optikvaror, ur"
3851,Instrumenttillverkning
38510,Instrumenttillverkning och -reparation
385100,Instrumenttillverkning
3852,Foto- och optikvarutillverkning
38520,Foto- och optikvarutillverkning
385200,Foto- och optikvarutillverkning
3853,Urtillverkning
38530,Urtillverkning
385300,Urtillverkning
39,Annan tillverkning
390,Annan tillverkning
3901,Guld- och silvervarutillverkning
39010,Guld- och silvervarutillverkning
390100,Guld- och silvervarutillverkning
3902,Musikinstrumenttillverkning
39020,Musikinstrumenttillverkning
390200,Musikinstrumenttillverkning
3903,Tillverkning av sportartiklar
39030,Tillverkning av sportartiklar
390300,Tillverkning av sportartiklar
3909,Övrig tillverkning
39090,Övrig tillverkning
390901,Tillverkning av borstbinderiarbeten
390909,Tillverkning av övriga varor
4,"El-, gas-, värme- och vattenförsörjning"
41,"El-, gas- och värmeförsörjning"
410,"El-, gas- och värmeförsörjning"
4101,Elförsörjning
41010,Elförsörjning
410100,Elförsörjning
4102,Gasförsörjning
41020,Gasförsörjning
410200,Gasförsörjning
4103,Fjärrvärmeförsörjning
41030,Fjärrvärmeförsörjning
410300,Fjärrvärmeförsörjning
42,Vattenförsörjning
420,Vattenförsörjning
4200,Vattenförsörjning
42000,Vattenförsörjning
420000,Vattenförsörjning
5,Byggnadsverksamhet
50,Byggnadsverksamhet
501,"Byggande av hus och anläggningar, grundarbeten"
5011,Schaktning och andra grundarbeten
50110,Schaktning och andra grundarbeten
501100,Schaktning och andra grundarbeten
5012,Byggande av hus och anläggningar
50121,Byggande av hus
501210,Byggande av hus
50122,Byggande av anläggningar
501220,Byggande av anläggningar
502,Byggnadshantverk
5020,Byggnadshantverk
50201,Byggnadsplåtslageriarbeten
502010,Byggnadsplåtslageriarbeten
50202,"Värme-, ventilation- och sanitetsarbeten"
502020,"Värme-, ventilation- och sanitetsarbeten"
50203,Elektrisk installation
502030,Elektrisk installation
50204,Byggnadsglasmästeriarbeten
502040,Byggnadsglasmästeriarbeten
50205,Måleriarbeten
502050,Måleriarbeten
50209,"Byggnadssnickeri, golv-, takläggning m m"
502090,"Byggnadssnickeri, golv-, takläggning m m"
6,"Varuhandel, restaurang- och hotellverksamhet"
61,Partihandel och varuförmedling
611,Produktionsvaruinriktad partihandel
6111,"Partihandel med råvaror, halvfabrikat, driftsförnödenheter"
61110,"Partihandel med råvaror, halvfabrikat, driftsförnödenheter"
611100,"Partihandel med råvaror, halvfabrikat, driftsförnödenheter"
61111,"Partihandel med djur, spannmål, gödselmedel m m"
611110,"Partihandel med djur, spannmål, gödselmedel m m"
61112,"Partihandel med hudar, textilfibrer m m"
611120,"Partihandel med hudar, textilfibrer m m"
61113,"Partihandel med rundvirke, massa, papper, papp"
611130,"Partihandel med rundvirke, massa, papper, papp"
61114,"Partihandel med kemikalier, färger, gummi m m"
611140,"Partihandel med kemikalier, färger, gummi m m"
61115,"Partihandel med malmer, metaller m m"
611150,"Partihandel med malmer, metaller m m"
61116,Partihandel med byggnadsmaterial
611160,Partihandel med byggnadsmaterial
61117,Skrothandel
611170,Skrothandel
61119,"Partihandel med emballage, grus, rep m m"
611190,"Partihandel med emballage, grus, rep m m"
6112,"Partihandel med maskiner, verktyg, apparater"
61120,"Partihandel med maskiner, verktyg, apparater"
611200,"Partihandel med maskiner, verktyg, apparater"
612,Konsumtionsvaruinriktad partihandel
6121,"Partihandel med livsmedel, dryckesvaror, tobak"
61210,"Partihandel med livsmedel, dryckesvaror, tobak"
612100,"Partihandel med livsmedel, dryckesvaror, tobak"
6122,"Textil-, beklädnads- och lädervarupartihandel"
61220,"Textil-, beklädnads- och lädervarupartihandel"
612200,"Textil-, beklädnads- och lädervarupartihandel"
6123,Hemutrustningspartihandel
61230,Hemutrustningspartihandel
612300,Hemutrustningspartihandel
6129,"Partihandel, konsumtionsvaror, ej hemutr-, bekläd-, mat- o d"
61290,"Partihandel, konsumtionsvaror, ej hemutr-, bekläd-, mat- o d"
612900,"Partihandel, konsumtionsvaror, ej hemutr-, bekläd-, mat- o d"
613,"Partihandel med transportmedel, bränsle och drivmedel"
6131,Transportmedelspartihandel
61310,Partihandel med transportmedel
613100,Partihandel med transportmedel
6132,Bränsle- och drivmedelspartihandel
61320,"Partihandel med bränsle , driv- och smörjmedel"
613200,"Partihandel med bränsle , driv- och smörjmedel"
614,Varuförmedling
6141,Varuförmedling av produktionsvaror
61410,Varuförmedling av produktionsvaror
614100,Varuförmedling av produktionsvaror
61411,"Handelsförmedling av djur, spannmål, gödsel m m"
614110,"Handelsförmedling av djur, spannmål, gödsel m m"
61412,"Handelsförmedling av hudar, textilfibrer m m"
614120,"Handelsförmedling av hudar, textilfibrer m m"
61413,"Handelsförmedling av rundvirke, massa, papper, m m"
614130,"Handelsförmedling av rundvirke, massa, papper, m m"
61414,"Handelsförmedling av kemikalier, färger, gummi m m"
614140,"Handelsförmedling av kemikalier, färger, gummi m m"
61415,"Handelsförmedling av malmer, metaller m m"
614150,"Handelsförmedling av malmer, metaller m m"
61416,Handelsförmedling av byggnadsmaterial
614160,Handelsförmedling av byggnadsmaterial
61417,"Handelsförmedling av emballage, grus, rep m m"
614170,"Handelsförmedling av emballage, grus, rep m m"
61418,Handelsförmedling av produktionsvaror
614180,Handelsförmedling av produktionsvaror
6142,Varuförmedling av konsumtionsvaror
61420,Varuförmedling av konsumtionsvaror
614200,Varuförmedling av konsumtionsvaror
61421,"Handelsförmedling av livsmedel, tobak m m"
614210,"Handelsförmedling av livsmedel, tobak m m"
61422,"Handelsförmedling av textil-, beklädnads-, lädervaror"
614220,"Handelsförmedling av textil-, beklädnads-, lädervaror"
61423,Handelsförmedling av hemutrustningsvaror
614230,Handelsförmedling av hemutrustningsvaror
61429,"Handelsförm, konsumtionsvaror, ej hemutr-, bekläd-, matvaror"
614290,"Handelsförm, konsumtionsvaror, ej hemutr-, bekläd-, matvaror"
6143,"Varuförmedling av transportmedel, bränsle och drivsmedel"
61430,"Varuförmedling av transportmedel, bränsle och drivsmedel"
614300,"Varuförmedling av transportmedel, bränsle och drivsmedel"
61431,Handelsförmedling av transportmedel
614310,Handelsförmedling av transportmedel
61432,"Handelsförmedling av bränsle, driv- och smörjmedel"
614320,"Handelsförmedling av bränsle, driv- och smörjmedel"
62,Detaljhandel
621,Varuhushandel
6210,Varuhushandel
62100,Varuhushandel
621000,Varuhushandel
6211,Varuhushandel med dagligvaror
62110,Varuhushandel med dagligvaror
621100,Varuhushandel med dagligvaror
6212,Varuhushandel med sällanköpsvaror
62121,Varuhushandel med beklädnadsvaror
621210,Varuhushandel med beklädnadsvaror
62122,Varuhushandel med hemutrustningsvaror
621220,Varuhushandel med hemutrustningsvaror
62123,"Varuhushandel med ur, guldsmeds- och fritidsvaror"
621230,"Varuhushandel med ur, guldsmeds- och fritidsvaror"
6219,Övrig varuhushandel
62190,Övrig varuhushandel
621900,Övrig varuhushandel
622,Dagligvaruhandel
6221,Livsmedelsdetaljhandel
62210,Livsmedelsdetaljhandel
622100,Livsmedelsdetaljhandel
6222,Färg- och parfymdetaljhandel
62221,Färg- och tapethandel
622210,Färg- och tapethandel
62222,Parfym- sjukvårds- och bijouterihandel
622220,Parfym- sjukvårds- och bijouterihandel
6223,Tobaks- och bokhandel
62231,Tobaks- och tidningshandel
622310,Tobaks- och tidningshandel
62232,Bok- och pappershandel
622320,Bok- och pappershandel
6224,Blomsterhandel
62240,Blomsterhandel
622400,Blomsterhandel
623,Sällanköpsvaruhandel
6231,Beklädnadsdetaljhandel
62311,Konfektions- och ekiperingshandel
623110,Konfektions- och ekiperingshandel
62312,Skohandel
623120,Skohandel
62319,"Detaljhandel med t ex päls, läder, reseeffekter, tyg"
623190,"Detaljhandel med t ex päls, läder, reseeffekter, tyg"
6232,Hemutrustningsdetaljhandel
62321,"Detaljhandel med möbler, mattor, hemtextilier"
623210,"Detaljhandel med möbler, mattor, hemtextilier"
62322,Järnhandel
623220,Järnhandel
62323,Radio- och tv-handel
623230,Radio- och tv-handel
62324,"Detaljhandel med hushållsapparater, belysningsartiklar"
623240,"Detaljhandel med hushållsapparater, belysningsartiklar"
