code,label,label_en,parent_code,valid_from,valid_to
054H,Herpes simplex med andra komplikationer än 054A-D,,,,
054W,Herpes simplex med icke specificerad komplikation,,,,
054X,Herpes simplex utan uppgift om komplikation,,,,
055A,Mässlingsencefalit,,,,
055B,Pneumoni efter mässling,,,,
055C,Otit efter mässling,,,,
055H,Mässling med andra komplikationer än 055A-C,,,,
055W,Mässling med icke specificerad komplikation,,,,
055X,Mässling utan uppgift om komplikation,,,,
056A,Röda hund med neurologiska komplikationer,,,,
056H,Röda hund med andra komplikationer än 056A,,,,
056W,Röda hund med icke specificerad komplikation,,,,
056X,Röda hund utan uppgift om komplikation,,,,
057A,Erythema infectiosum,,,,
057W,Andra specificerade virusexantem än 050-057A,,,,
057X,"Andra virusexantem, ospecificerade",,,,
060X,Gula febern,,,,
061X,Denguefeber,,,,
062X,Virusencefalit överförd av myggor,,,,
063X,Virusencefalit överförd av fästingar,,,,
064X,Virusencefalit överförd av andra och ospecific leddjur,,,,
065X,Hemorragisk feber överförd av leddjur,,,,
066X,Andra virussjukdomar överförda av leddjur än 060-065,,,,
070A,Virushepatit A med leverkoma,,,,
070B,Virushepatit A utan uppgift om leverkoma,,,,
070C,Virushepatit B med leverkoma,,,,
070D,Virushepatit B utan uppgift om leverkoma,,,,
070E,Annan virushepatit än A eller B med leverkoma,,,,
070F,Annan virushepatit än A el B utan uppgift om leverkoma,,,,
070G,"Virushepatit, ospecificerad, med leverkoma",,,,
070X,"Virushepatit, ospecificerad, utan uppgift om leverkoma",,,,
071X,Rabies,,,,
072A,Påssjukeorkit,,,,
072B,Påssjukemeningit,,,,
072C,Påssjukeencefalit,,,,
072D,Påssjukepankreatit,,,,
072H,Påssjuka med andra komplikationer än 072A-D,,,,
072W,Påssjuka med icke specificerade komplikationer,,,,
072X,Påssjuka utan uppgift om komplikation,,,,
073X,Papegojsjuka,,,,
074A,Herpangina,,,,
074B,Epidemisk pleurodyni,,,,
074C,Coxsackiekardit,,,,
074D,"Hand, foot and mouth disease",,,,
074W,Andra specif sjukd orsakade av Coxsackievirus än 074A-D,,,,
075X,Körtelfeber,,,,
076X,Trakom,,,,
077A,Inklusionskonjunktivit,,,,
077B,Epidemisk keratokonjunktivit,,,,
077C,Faryngokonjunktivalfeber,,,,
077D,Annan adenoviruskonjunktivit,,,,
077E,Epidemisk hemorrhagisk konjunktivit,,,,
077W,Annan viruskonjunktivit,,,,
077X,"Viruskonjunktivit, ospecificerad",,,,
078A,Molluscum contagiosum,,,,
078B,Virusvårtor,,,,
078C,Miliarfeber,,,,
078D,Cat-scratch disease,,,,
